repo_name,stars,forks,watchers,language,url
geekan/HowToLiveLonger,35060,2378,35060,,https://api.github.com/repos/geekan/HowToLiveLonger
bumptech/glide,35026,6175,35026,Java,https://api.github.com/repos/bumptech/glide
geekcomputers/Python,35026,12926,35026,Python,https://api.github.com/repos/geekcomputers/Python
sorrycc/awesome-javascript,34976,4540,34976,,https://api.github.com/repos/sorrycc/awesome-javascript
fxsjy/jieba,34966,6698,34966,Python,https://api.github.com/repos/fxsjy/jieba
netty/netty,34960,16252,34960,Java,https://api.github.com/repos/netty/netty
bytedance/UI-TARS-desktop,34943,3514,34943,TypeScript,https://api.github.com/repos/bytedance/UI-TARS-desktop
kuchin/awesome-cto,34939,2186,34939,,https://api.github.com/repos/kuchin/awesome-cto
gchq/CyberChef,34899,3959,34899,JavaScript,https://api.github.com/repos/gchq/CyberChef
frappe/erpnext,34871,11403,34871,Python,https://api.github.com/repos/frappe/erpnext
QuantumNous/new-api,34851,7766,34851,Go,https://api.github.com/repos/QuantumNous/new-api
filebrowser/filebrowser,34809,3851,34809,Go,https://api.github.com/repos/filebrowser/filebrowser
jqlang/jq,34770,1789,34770,C,https://api.github.com/repos/jqlang/jq
refinedev/refine,34769,3049,34769,TypeScript,https://api.github.com/repos/refinedev/refine
ItzCrazyKns/Vane,34727,3810,34727,TypeScript,https://api.github.com/repos/ItzCrazyKns/Vane
laravel/framework,34719,11891,34719,PHP,https://api.github.com/repos/laravel/framework
khoj-ai/khoj,34654,2203,34654,Python,https://api.github.com/repos/khoj-ai/khoj
PostHog/posthog,34637,2744,34637,Python,https://api.github.com/repos/PostHog/posthog
BVLC/caffe,34600,18481,34600,C++,https://api.github.com/repos/BVLC/caffe
stanfordnlp/dspy,34583,2913,34583,Python,https://api.github.com/repos/stanfordnlp/dspy
Yeachan-Heo/oh-my-claudecode,34553,3165,34553,TypeScript,https://api.github.com/repos/Yeachan-Heo/oh-my-claudecode
firecracker-microvm/firecracker,34516,2401,34516,Rust,https://api.github.com/repos/firecracker-microvm/firecracker
keycloak/keycloak,34504,8366,34504,Java,https://api.github.com/repos/keycloak/keycloak
facebookresearch/detectron2,34490,7940,34490,Python,https://api.github.com/repos/facebookresearch/detectron2
drizzle-team/drizzle-orm,34481,1401,34481,TypeScript,https://api.github.com/repos/drizzle-team/drizzle-orm
jaredpalmer/formik,34365,2783,34365,TypeScript,https://api.github.com/repos/jaredpalmer/formik
qishibo/AnotherRedisDesktopManager,34319,2705,34319,JavaScript,https://api.github.com/repos/qishibo/AnotherRedisDesktopManager
xitu/gold-miner,34310,5004,34310,,https://api.github.com/repos/xitu/gold-miner
nodejs/node-v0.x-archive,34309,7236,34309,,https://api.github.com/repos/nodejs/node-v0.x-archive
python-poetry/poetry,34281,2446,34281,Python,https://api.github.com/repos/python-poetry/poetry
TheAlgorithms/C-Plus-Plus,34273,7806,34273,C++,https://api.github.com/repos/TheAlgorithms/C-Plus-Plus
glanceapp/glance,34272,1330,34272,Go,https://api.github.com/repos/glanceapp/glance
musistudio/claude-code-router,34252,2795,34252,TypeScript,https://api.github.com/repos/musistudio/claude-code-router
GorvGoyl/Clone-Wars,34231,3070,34231,,https://api.github.com/repos/GorvGoyl/Clone-Wars
wailsapp/wails,34220,1686,34220,Go,https://api.github.com/repos/wailsapp/wails
testerSunshine/12306,34170,9655,34170,Python,https://api.github.com/repos/testerSunshine/12306
TheAlgorithms/JavaScript,34169,5856,34169,JavaScript,https://api.github.com/repos/TheAlgorithms/JavaScript
router-for-me/CLIProxyAPI,34164,5693,34164,Go,https://api.github.com/repos/router-for-me/CLIProxyAPI
zenorocha/clipboard.js,34158,3914,34158,JavaScript,https://api.github.com/repos/zenorocha/clipboard.js
Dokploy/dokploy,34158,2499,34158,TypeScript,https://api.github.com/repos/Dokploy/dokploy
utmapp/UTM,34146,1712,34146,Swift,https://api.github.com/repos/utmapp/UTM
AdguardTeam/AdGuardHome,34137,2341,34137,Go,https://api.github.com/repos/AdguardTeam/AdGuardHome
chenfei-wu/TaskMatrix,34127,3226,34127,Python,https://api.github.com/repos/chenfei-wu/TaskMatrix
xkcoding/spring-boot-demo,34111,10945,34111,Java,https://api.github.com/repos/xkcoding/spring-boot-demo
CMU-Perceptual-Computing-Lab/openpose,34101,8053,34101,C++,https://api.github.com/repos/CMU-Perceptual-Computing-Lab/openpose
SeleniumHQ/selenium,34092,8682,34092,Java,https://api.github.com/repos/SeleniumHQ/selenium
SagerNet/sing-box,34072,4021,34072,Go,https://api.github.com/repos/SagerNet/sing-box
songquanpeng/one-api,34071,6505,34071,JavaScript,https://api.github.com/repos/songquanpeng/one-api
ehang-io/nps,34063,6088,34063,Go,https://api.github.com/repos/ehang-io/nps
ZuodaoTech/everyone-can-use-english,34057,4747,34057,TypeScript,https://api.github.com/repos/ZuodaoTech/everyone-can-use-english
atlassian/react-beautiful-dnd,33998,2715,33998,JavaScript,https://api.github.com/repos/atlassian/react-beautiful-dnd
v2fly/v2ray-core,33985,5058,33985,Go,https://api.github.com/repos/v2fly/v2ray-core
awesome-foss/awesome-sysadmin,33980,2019,33980,,https://api.github.com/repos/awesome-foss/awesome-sysadmin
zxing/zxing,33956,9425,33956,Java,https://api.github.com/repos/zxing/zxing
vercel-labs/agent-browser,33948,2118,33948,Rust,https://api.github.com/repos/vercel-labs/agent-browser
