repo_name,stars,forks,language,open_issues_count,size,has_wiki,has_pages,has_discussions,archived,repo_age_days,commits
bayandin/awesome-awesomeness,33444,3599,Ruby,54,381,False,False,False,False,4336,576
swc-project/swc,33440,1394,Rust,407,446287,False,False,True,False,3073,11850
backstage/backstage,33409,7341,TypeScript,481,5312601,False,True,False,False,2309,73967
Hmbown/DeepSeek-TUI,33372,2858,Rust,501,35268,True,False,True,False,122,1426
mli/paper-reading,33320,2804,,1,9001,False,False,True,False,1673,163
continuedev/continue,33317,4546,TypeScript,793,870650,False,False,True,False,1094,21498
mckaywrigley/chatbot-ui,33253,9437,TypeScript,237,3644,False,False,True,False,1167,209
MonitorControl/MonitorControl,33245,969,Swift,24,30047,True,True,True,False,3169,289
SerenityOS/serenity,33201,3330,C++,745,241064,False,False,False,False,2727,66983
microsoft/graphrag,33166,3512,Python,120,206596,True,True,True,False,785,465
OpenBMB/ChatDev,33165,4112,Python,56,377780,False,False,False,False,998,190
bilibili/ijkplayer,33156,8237,C,2895,8283,True,False,False,False,4736,2627
lissy93/web-check,33152,2682,TypeScript,81,27805,True,False,False,False,1061,625
immutable-js/immutable-js,33063,1845,TypeScript,125,148070,True,True,True,False,4342,2089
k3s-io/k3s,33060,2668,Go,134,590643,True,False,True,False,2913,4123
kovidgoyal/kitty,33054,1372,Python,12,72814,True,False,True,False,3504,18285
raysan5/raylib,33054,3109,C,18,420333,True,False,True,False,4592,9864
adobe/brackets,33050,7489,JavaScript,2778,92974,True,False,False,True,5279,17847
certbot/certbot,33046,3493,Python,189,73738,True,False,False,False,4209,11395
zeromicro/go-zero,33026,4296,Go,278,32975,False,False,True,False,2113,2988
remix-run/remix,33000,2771,TypeScript,48,83469,False,False,True,False,2033,8554
google/comprehensive-rust,32981,2013,Rust,168,27997,False,True,True,False,1247,2703
gulpjs/gulp,32975,4154,JavaScript,34,1117,False,False,True,False,4705,1213
alibaba/nacos,32956,13279,Java,245,91748,True,False,True,False,2898,6035
lutzroeder/netron,32937,3118,JavaScript,19,94671,False,False,False,False,5626,10009
ibraheemdev/modern-unix,32922,829,,68,72,True,False,True,False,1956,86
NginxProxyManager/nginx-proxy-manager,32908,3747,TypeScript,921,22330,False,False,True,False,3074,2419
cursor/cursor,32902,2241,,1,1655,False,False,False,False,1167,217
shadowsocks/ShadowsocksX-NG,32895,7810,Swift,314,50660,True,True,False,False,3633,600
zellij-org/zellij,32894,1217,Rust,1714,158454,True,False,True,False,2089,3269
qier222/YesPlayMusic,32875,4702,Vue,648,48857,True,False,True,False,2051,727
microsoft/playwright-mcp,32868,2693,TypeScript,4,1989,False,False,False,False,426,551
AstrBotDevs/AstrBot,32824,2258,Python,1157,64223,True,False,True,False,1261,4695
binarywang/WxJava,32800,9064,Java,34,19807,True,False,True,False,3789,4265
tinygrad/tinygrad,32733,4127,Python,181,113926,False,True,True,False,2041,13381
open-mmlab/mmdetection,32704,9835,Python,1957,64771,True,False,True,False,2830,2706
langchain-ai/langgraph,32688,5532,Python,553,521082,False,True,False,False,1016,6876
yewstack/yew,32648,1456,Rust,115,21997,False,True,True,False,3079,2863
apache/kafka,32645,15206,Java,367,291360,False,False,False,False,5393,17535
nicolargo/glances,32615,1742,Python,104,55315,True,True,True,False,5283,7134
floating-ui/floating-ui,32596,1677,TypeScript,49,41269,True,False,True,False,3705,2422
0xAX/linux-insides,32560,3523,Python,31,21379,False,False,False,False,4156,2063
valinet/ExplorerPatcher,32548,1319,C,338,9378,True,False,True,False,1747,1041
ziadoz/awesome-php,32540,5143,,68,1452,False,False,False,False,4560,1775
kepano/obsidian-skills,32475,2253,,38,42,True,False,False,False,139,39
seaweedfs/seaweedfs,32432,2816,Go,739,187498,True,True,True,False,4329,13927
vbenjs/vue-vben-admin,32430,8780,Vue,101,46336,True,True,True,False,2141,1661
beego/beego,32400,5589,Go,19,11992,True,False,False,False,5196,4835
labstack/echo,32398,2323,Go,95,6956,True,False,True,False,4099,1875
vercel/swr,32386,1340,TypeScript,197,8234,False,False,True,False,2397,949
aristocratos/btop,32374,1024,C++,487,9875,True,False,True,False,1841,1566
microsoft/WSL,32369,1726,C++,931,56718,False,True,True,False,3697,890
yunjey/pytorch-tutorial,32362,8245,Python,88,13110,True,False,False,False,3360,173
lovell/sharp,32254,1406,JavaScript,123,60059,False,False,False,False,4658,2330
facebookresearch/fairseq,32219,6680,Python,1353,26071,False,False,False,True,3187,2330
surrealdb/surrealdb,32194,1267,Rust,634,52970,False,False,True,False,1624,4400
google/material-design-lite,32176,4923,HTML,430,56990,True,False,False,False,4145,2873
cockroachdb/cockroach,32171,4124,Go,8301,3127980,True,False,True,False,4488,118528
linera-io/linera-protocol,32124,2356,Rust,649,239008,False,True,False,False,1615,5277
microsoft/MS-DOS,32121,4636,Assembly,3,120196,False,False,False,True,2887,104
lizongying/my-tv,32100,3611,C,146,72954,True,False,False,False,900,165
numpy/numpy,32080,12375,Python,2374,175421,True,False,False,False,5729,41222
OWASP/CheatSheetSeries,32068,4461,Python,52,2339885,False,True,True,False,2708,2175
tokio-rs/tokio,32067,3060,Rust,424,16757,False,False,True,False,3541,4515
The-Run-Philosophy-Organization/run,32066,2561,,47,411061,True,False,True,False,1503,1290
blakeblackshear/frigate,32059,3103,TypeScript,129,122865,True,True,True,False,2673,5791
motiondivision/motion,32040,1176,TypeScript,119,1659918,False,False,True,False,2744,7684
linexjlin/GPTs,31986,4389,,13,718,True,False,False,False,923,304
hasura/graphql-engine,31967,2876,TypeScript,2370,5195013,True,True,True,False,2895,9956
VectifyAI/PageIndex,31955,2752,Python,158,24277,False,False,True,False,416,284
dokku/dokku,31896,2038,Shell,32,23772,True,False,True,False,4731,13679
waydabber/BetterDisplay,31865,606,,154,15831,True,True,True,False,1671,774
airbnb/lottie-web,31862,2922,JavaScript,849,358131,True,False,False,False,4108,2436
niklasvh/html2canvas,31858,4884,TypeScript,1052,117300,False,True,True,False,5424,1066
conductor-oss/conductor,31835,901,Java,172,38972,False,True,True,False,896,5597
telegramdesktop/tdesktop,31833,6733,C++,982,276133,True,True,False,False,4403,23433
Trinea/android-open-project,31830,11847,,31,2181,True,False,False,False,4519,965
tailscale/tailscale,31824,2583,Go,4321,80549,True,False,False,False,2302,10654
kubernetes/minikube,31820,5228,Go,591,300632,False,False,False,False,3688,27457
codex-team/editor.js,31775,2234,TypeScript,691,20680,False,False,True,False,3827,850
containers/podman,31762,3117,Go,1084,179361,True,False,True,False,3123,27308
amix/vimrc,31759,7263,Vim Script,21,32472,True,False,False,False,5105,490
pear-devs/pear-desktop,31743,1818,TypeScript,657,21689,True,False,True,False,2589,5132
facebook/rocksdb,31692,6834,C++,1514,240551,True,True,False,False,4921,13882
ianstormtaylor/slate,31680,3322,TypeScript,660,26593,False,False,True,False,3625,4336
hehonghui/awesome-english-ebooks,31679,2607,CSS,0,14504515,True,False,False,False,1424,248
ReactiveX/rxjs,31678,2995,TypeScript,295,49357,False,False,True,False,4086,5461
Chanzhaoyu/chatgpt-web,31666,10845,Vue,1,6223,True,False,False,True,1198,401
CopilotKit/CopilotKit,31660,4086,TypeScript,491,747177,True,False,True,False,1068,9685
dgtlmoon/changedetection.io,31656,1801,Python,336,25158,True,False,True,False,1940,2366
alpinejs/alpine,31597,1366,HTML,1,8967,False,False,True,False,2367,2365
ValveSoftware/Proton,31573,1448,C++,5084,153140,True,False,False,False,2991,2547
VSCodium/vscodium,31549,1716,Shell,113,33394,False,False,True,False,2838,1830
DevToys-app/DevToys,31538,1750,C#,330,229285,False,False,True,False,1696,1081
zeroclaw-labs/zeroclaw,31521,4645,Rust,520,105927,True,True,True,False,98,3299
eriklindernoren/ML-From-Scratch,31514,5269,Python,73,553,True,False,False,False,3393,374
influxdata/influxdb,31507,3703,Rust,2146,209778,False,False,True,False,4620,49914
qdrant/qdrant,31495,2287,Rust,547,53898,False,True,True,False,2182,6041
coolsnowwolf/lede,31450,19329,C,849,340051,True,False,True,False,3180,7814
donnemartin/interactive-coding-challenges,31449,4634,Python,75,7768,True,False,False,False,4041,790
shardeum/shardeum,31431,706,TypeScript,87,29293,False,False,True,False,765,1978
refined-github/refined-github,31378,1764,TypeScript,107,28000,True,False,False,False,3748,4722
iawia002/lux,31371,3303,Go,542,2566,False,False,False,False,3009,869
XIU2/TrackersListCollection,31353,1786,,1,17192,False,True,False,False,2422,6261
mathiasbynens/dotfiles,31347,8516,Shell,188,850,False,False,False,False,5372,762
multica-ai/multica,31234,3788,TypeScript,663,54919,True,False,True,False,128,3231
parallax/jsPDF,31228,4798,JavaScript,113,142603,False,True,False,False,6010,2332
docsifyjs/docsify,31215,5815,JavaScript,103,30696,True,True,True,False,3470,1957
fabricjs/fabric.js,31180,3625,TypeScript,463,248416,True,False,True,False,5825,5371
